id,name,acronym,parent_structure_id,depth,structure_id_path,safe_name
182305713,Primary somatosensory area unassigned layer 6b,SSp-un6b,182305689.0,9,/997/8/567/688/695/315/453/322/182305689/182305713/,Primary somatosensory area unassigned layer 6b
378,Supplemental somatosensory area,SSs,453.0,7,/997/8/567/688/695/315/453/378/,Supplemental somatosensory area
873,Supplemental somatosensory area layer 1,SSs1,378.0,8,/997/8/567/688/695/315/453/378/873/,Supplemental somatosensory area layer 1
806,Supplemental somatosensory area layer 2/3,SSs2/3,378.0,8,/997/8/567/688/695/315/453/378/806/,Supplemental somatosensory area layer 2/3
1035,Supplemental somatosensory area layer 4,SSs4,378.0,8,/997/8/567/688/695/315/453/378/1035/,Supplemental somatosensory area layer 4
1090,Supplemental somatosensory area layer 5,SSs5,378.0,8,/997/8/567/688/695/315/453/378/1090/,Supplemental somatosensory area layer 5
862,Supplemental somatosensory area layer 6a,SSs6a,378.0,8,/997/8/567/688/695/315/453/378/862/,Supplemental somatosensory area layer 6a
893,Supplemental somatosensory area layer 6b,SSs6b,378.0,8,/997/8/567/688/695/315/453/378/893/,Supplemental somatosensory area layer 6b
1057,Gustatory areas,GU,315.0,6,/997/8/567/688/695/315/1057/,Gustatory areas
36,Gustatory areas layer 1,GU1,1057.0,7,/997/8/567/688/695/315/1057/36/,Gustatory areas layer 1
180,Gustatory areas layer 2/3,GU2/3,1057.0,7,/997/8/567/688/695/315/1057/180/,Gustatory areas layer 2/3
148,Gustatory areas layer 4,GU4,1057.0,7,/997/8/567/688/695/315/1057/148/,Gustatory areas layer 4
187,Gustatory areas layer 5,GU5,1057.0,7,/997/8/567/688/695/315/1057/187/,Gustatory areas layer 5
638,Gustatory areas layer 6a,GU6a,1057.0,7,/997/8/567/688/695/315/1057/638/,Gustatory areas layer 6a
662,Gustatory areas layer 6b,GU6b,1057.0,7,/997/8/567/688/695/315/1057/662/,Gustatory areas layer 6b
677,Visceral area,VISC,315.0,6,/997/8/567/688/695/315/677/,Visceral area
897,Visceral area layer 1,VISC1,677.0,7,/997/8/567/688/695/315/677/897/,Visceral area layer 1
1106,Visceral area layer 2/3,VISC2/3,677.0,7,/997/8/567/688/695/315/677/1106/,Visceral area layer 2/3
1010,Visceral area layer 4,VISC4,677.0,7,/997/8/567/688/695/315/677/1010/,Visceral area layer 4
1058,Visceral area layer 5,VISC5,677.0,7,/997/8/567/688/695/315/677/1058/,Visceral area layer 5
857,Visceral area layer 6a,VISC6a,677.0,7,/997/8/567/688/695/315/677/857/,Visceral area layer 6a
849,Visceral area layer 6b,VISC6b,677.0,7,/997/8/567/688/695/315/677/849/,Visceral area layer 6b
247,Auditory areas,AUD,315.0,6,/997/8/567/688/695/315/247/,Auditory areas
1011,Dorsal auditory area,AUDd,247.0,7,/997/8/567/688/695/315/247/1011/,Dorsal auditory area
527,Dorsal auditory area layer 1,AUDd1,1011.0,8,/997/8/567/688/695/315/247/1011/527/,Dorsal auditory area layer 1
600,Dorsal auditory area layer 2/3,AUDd2/3,1011.0,8,/997/8/567/688/695/315/247/1011/600/,Dorsal auditory area layer 2/3
678,Dorsal auditory area layer 4,AUDd4,1011.0,8,/997/8/567/688/695/315/247/1011/678/,Dorsal auditory area layer 4
252,Dorsal auditory area layer 5,AUDd5,1011.0,8,/997/8/567/688/695/315/247/1011/252/,Dorsal auditory area layer 5
156,Dorsal auditory area layer 6a,AUDd6a,1011.0,8,/997/8/567/688/695/315/247/1011/156/,Dorsal auditory area layer 6a
243,Dorsal auditory area layer 6b,AUDd6b,1011.0,8,/997/8/567/688/695/315/247/1011/243/,Dorsal auditory area layer 6b
480149230,Laterolateral anterior visual area,VISlla,1011.0,8,/997/8/567/688/695/315/247/1011/480149230/,Laterolateral anterior visual area
480149234,Laterolateral anterior visual area layer 1,VISlla1,480149230.0,9,/997/8/567/688/695/315/247/1011/480149230/480149234/,Laterolateral anterior visual area layer 1
480149238,Laterolateral anterior visual area layer 2/3,VISlla2/3,480149230.0,9,/997/8/567/688/695/315/247/1011/480149230/480149238/,Laterolateral anterior visual area layer 2/3
480149242,Laterolateral anterior visual area layer 4,VISlla4,480149230.0,9,/997/8/567/688/695/315/247/1011/480149230/480149242/,Laterolateral anterior visual area layer 4
480149246,Laterolateral anterior visual arealayer 5,VISlla5,480149230.0,9,/997/8/567/688/695/315/247/1011/480149230/480149246/,Laterolateral anterior visual arealayer 5
480149250,Laterolateral anterior visual area layer 6a,VISlla6a,480149230.0,9,/997/8/567/688/695/315/247/1011/480149230/480149250/,Laterolateral anterior visual area layer 6a
480149254,Laterolateral anterior visual area layer 6b,VISlla6b,480149230.0,9,/997/8/567/688/695/315/247/1011/480149230/480149254/,Laterolateral anterior visual area layer 6b
1002,Primary auditory area,AUDp,247.0,7,/997/8/567/688/695/315/247/1002/,Primary auditory area
735,Primary auditory area layer 1,AUDp1,1002.0,8,/997/8/567/688/695/315/247/1002/735/,Primary auditory area layer 1
251,Primary auditory area layer 2/3,AUDp2/3,1002.0,8,/997/8/567/688/695/315/247/1002/251/,Primary auditory area layer 2/3
816,Primary auditory area layer 4,AUDp4,1002.0,8,/997/8/567/688/695/315/247/1002/816/,Primary auditory area layer 4
847,Primary auditory area layer 5,AUDp5,1002.0,8,/997/8/567/688/695/315/247/1002/847/,Primary auditory area layer 5
954,Primary auditory area layer 6a,AUDp6a,1002.0,8,/997/8/567/688/695/315/247/1002/954/,Primary auditory area layer 6a
1005,Primary auditory area layer 6b,AUDp6b,1002.0,8,/997/8/567/688/695/315/247/1002/1005/,Primary auditory area layer 6b
1027,Posterior auditory area,AUDpo,247.0,7,/997/8/567/688/695/315/247/1027/,Posterior auditory area
696,Posterior auditory area layer 1,AUDpo1,1027.0,8,/997/8/567/688/695/315/247/1027/696/,Posterior auditory area layer 1
643,Posterior auditory area layer 2/3,AUDpo2/3,1027.0,8,/997/8/567/688/695/315/247/1027/643/,Posterior auditory area layer 2/3
759,Posterior auditory area layer 4,AUDpo4,1027.0,8,/997/8/567/688/695/315/247/1027/759/,Posterior auditory area layer 4
791,Posterior auditory area layer 5,AUDpo5,1027.0,8,/997/8/567/688/695/315/247/1027/791/,Posterior auditory area layer 5
249,Posterior auditory area layer 6a,AUDpo6a,1027.0,8,/997/8/567/688/695/315/247/1027/249/,Posterior auditory area layer 6a
456,Posterior auditory area layer 6b,AUDpo6b,1027.0,8,/997/8/567/688/695/315/247/1027/456/,Posterior auditory area layer 6b
1018,Ventral auditory area,AUDv,247.0,7,/997/8/567/688/695/315/247/1018/,Ventral auditory area
959,Ventral auditory area layer 1,AUDv1,1018.0,8,/997/8/567/688/695/315/247/1018/959/,Ventral auditory area layer 1
755,Ventral auditory area layer 2/3,AUDv2/3,1018.0,8,/997/8/567/688/695/315/247/1018/755/,Ventral auditory area layer 2/3
990,Ventral auditory area layer 4,AUDv4,1018.0,8,/997/8/567/688/695/315/247/1018/990/,Ventral auditory area layer 4
1023,Ventral auditory area layer 5,AUDv5,1018.0,8,/997/8/567/688/695/315/247/1018/1023/,Ventral auditory area layer 5
520,Ventral auditory area layer 6a,AUDv6a,1018.0,8,/997/8/567/688/695/315/247/1018/520/,Ventral auditory area layer 6a
598,Ventral auditory area layer 6b,AUDv6b,1018.0,8,/997/8/567/688/695/315/247/1018/598/,Ventral auditory area layer 6b
669,Visual areas,VIS,315.0,6,/997/8/567/688/695/315/669/,Visual areas
801,Visual areas layer 1,VIS1,669.0,7,/997/8/567/688/695/315/669/801/,Visual areas layer 1
561,Visual areas layer 2/3,VIS2/3,669.0,7,/997/8/567/688/695/315/669/561/,Visual areas layer 2/3
913,Visual areas layer 4,VIS4,669.0,7,/997/8/567/688/695/315/669/913/,Visual areas layer 4
937,Visual areas layer 5,VIS5,669.0,7,/997/8/567/688/695/315/669/937/,Visual areas layer 5
457,Visual areas layer 6a,VIS6a,669.0,7,/997/8/567/688/695/315/669/457/,Visual areas layer 6a
497,Visual areas layer 6b,VIS6b,669.0,7,/997/8/567/688/695/315/669/497/,Visual areas layer 6b
402,Anterolateral visual area,VISal,669.0,7,/997/8/567/688/695/315/669/402/,Anterolateral visual area
1074,Anterolateral visual area layer 1,VISal1,402.0,8,/997/8/567/688/695/315/669/402/1074/,Anterolateral visual area layer 1
905,Anterolateral visual area layer 2/3,VISal2/3,402.0,8,/997/8/567/688/695/315/669/402/905/,Anterolateral visual area layer 2/3
1114,Anterolateral visual area layer 4,VISal4,402.0,8,/997/8/567/688/695/315/669/402/1114/,Anterolateral visual area layer 4
233,Anterolateral visual area layer 5,VISal5,402.0,8,/997/8/567/688/695/315/669/402/233/,Anterolateral visual area layer 5
601,Anterolateral visual area layer 6a,VISal6a,402.0,8,/997/8/567/688/695/315/669/402/601/,Anterolateral visual area layer 6a
649,Anterolateral visual area layer 6b,VISal6b,402.0,8,/997/8/567/688/695/315/669/402/649/,Anterolateral visual area layer 6b
394,Anteromedial visual area,VISam,669.0,7,/997/8/567/688/695/315/669/394/,Anteromedial visual area
281,Anteromedial visual area layer 1,VISam1,394.0,8,/997/8/567/688/695/315/669/394/281/,Anteromedial visual area layer 1
1066,Anteromedial visual area layer 2/3,VISam2/3,394.0,8,/997/8/567/688/695/315/669/394/1066/,Anteromedial visual area layer 2/3
401,Anteromedial visual area layer 4,VISam4,394.0,8,/997/8/567/688/695/315/669/394/401/,Anteromedial visual area layer 4
433,Anteromedial visual area layer 5,VISam5,394.0,8,/997/8/567/688/695/315/669/394/433/,Anteromedial visual area layer 5
1046,Anteromedial visual area layer 6a,VISam6a,394.0,8,/997/8/567/688/695/315/669/394/1046/,Anteromedial visual area layer 6a
441,Anteromedial visual area layer 6b,VISam6b,394.0,8,/997/8/567/688/695/315/669/394/441/,Anteromedial visual area layer 6b
409,Lateral visual area,VISl,669.0,7,/997/8/567/688/695/315/669/409/,Lateral visual area
421,Lateral visual area layer 1,VISl1,409.0,8,/997/8/567/688/695/315/669/409/421/,Lateral visual area layer 1
973,Lateral visual area layer 2/3,VISl2/3,409.0,8,/997/8/567/688/695/315/669/409/973/,Lateral visual area layer 2/3
573,Lateral visual area layer 4,VISl4,409.0,8,/997/8/567/688/695/315/669/409/573/,Lateral visual area layer 4
613,Lateral visual area layer 5,VISl5,409.0,8,/997/8/567/688/695/315/669/409/613/,Lateral visual area layer 5
74,Lateral visual area layer 6a,VISl6a,409.0,8,/997/8/567/688/695/315/669/409/74/,Lateral visual area layer 6a
121,Lateral visual area layer 6b,VISl6b,409.0,8,/997/8/567/688/695/315/669/409/121/,Lateral visual area layer 6b
385,Primary visual area,VISp,669.0,7,/997/8/567/688/695/315/669/385/,Primary visual area
593,Primary visual area layer 1,VISp1,385.0,8,/997/8/567/688/695/315/669/385/593/,Primary visual area layer 1
821,Primary visual area layer 2/3,VISp2/3,385.0,8,/997/8/567/688/695/315/669/385/821/,Primary visual area layer 2/3
721,Primary visual area layer 4,VISp4,385.0,8,/997/8/567/688/695/315/669/385/721/,Primary visual area layer 4
778,Primary visual area layer 5,VISp5,385.0,8,/997/8/567/688/695/315/669/385/778/,Primary visual area layer 5
33,Primary visual area layer 6a,VISp6a,385.0,8,/997/8/567/688/695/315/669/385/33/,Primary visual area layer 6a
305,Primary visual area layer 6b,VISp6b,385.0,8,/997/8/567/688/695/315/669/385/305/,Primary visual area layer 6b
425,Posterolateral visual area,VISpl,669.0,7,/997/8/567/688/695/315/669/425/,Posterolateral visual area
750,Posterolateral visual area layer 1,VISpl1,425.0,8,/997/8/567/688/695/315/669/425/750/,Posterolateral visual area layer 1
269,Posterolateral visual area layer 2/3,VISpl2/3,425.0,8,/997/8/567/688/695/315/669/425/269/,Posterolateral visual area layer 2/3
869,Posterolateral visual area layer 4,VISpl4,425.0,8,/997/8/567/688/695/315/669/425/869/,Posterolateral visual area layer 4
902,Posterolateral visual area layer 5,VISpl5,425.0,8,/997/8/567/688/695/315/669/425/902/,Posterolateral visual area layer 5
377,Posterolateral visual area layer 6a,VISpl6a,425.0,8,/997/8/567/688/695/315/669/425/377/,Posterolateral visual area layer 6a
393,Posterolateral visual area layer 6b,VISpl6b,425.0,8,/997/8/567/688/695/315/669/425/393/,Posterolateral visual area layer 6b
533,posteromedial visual area,VISpm,669.0,7,/997/8/567/688/695/315/669/533/,posteromedial visual area
805,posteromedial visual area layer 1,VISpm1,533.0,8,/997/8/567/688/695/315/669/533/805/,posteromedial visual area layer 1
41,posteromedial visual area layer 2/3,VISpm2/3,533.0,8,/997/8/567/688/695/315/669/533/41/,posteromedial visual area layer 2/3
501,posteromedial visual area layer 4,VISpm4,533.0,8,/997/8/567/688/695/315/669/533/501/,posteromedial visual area layer 4
565,posteromedial visual area layer 5,VISpm5,533.0,8,/997/8/567/688/695/315/669/533/565/,posteromedial visual area layer 5
257,posteromedial visual area layer 6a,VISpm6a,533.0,8,/997/8/567/688/695/315/669/533/257/,posteromedial visual area layer 6a
469,posteromedial visual area layer 6b,VISpm6b,533.0,8,/997/8/567/688/695/315/669/533/469/,posteromedial visual area layer 6b
312782574,Laterointermediate area,VISli,669.0,7,/997/8/567/688/695/315/669/312782574/,Laterointermediate area
312782578,Laterointermediate area layer 1,VISli1,312782574.0,8,/997/8/567/688/695/315/669/312782574/312782578/,Laterointermediate area layer 1
312782582,Laterointermediate area layer 2/3,VISli2/3,312782574.0,8,/997/8/567/688/695/315/669/312782574/312782582/,Laterointermediate area layer 2/3
312782586,Laterointermediate area layer 4,VISli4,312782574.0,8,/997/8/567/688/695/315/669/312782574/312782586/,Laterointermediate area layer 4
312782590,Laterointermediate area layer 5,VISli5,312782574.0,8,/997/8/567/688/695/315/669/312782574/312782590/,Laterointermediate area layer 5
312782594,Laterointermediate area layer 6a,VISli6a,312782574.0,8,/997/8/567/688/695/315/669/312782574/312782594/,Laterointermediate area layer 6a
312782598,Laterointermediate area layer 6b,VISli6b,312782574.0,8,/997/8/567/688/695/315/669/312782574/312782598/,Laterointermediate area layer 6b
312782628,Postrhinal area,VISpor,669.0,7,/997/8/567/688/695/315/669/312782628/,Postrhinal area
312782632,Postrhinal area layer 1,VISpor1,312782628.0,8,/997/8/567/688/695/315/669/312782628/312782632/,Postrhinal area layer 1
312782636,Postrhinal area layer 2/3,VISpor2/3,312782628.0,8,/997/8/567/688/695/315/669/312782628/312782636/,Postrhinal area layer 2/3
312782640,Postrhinal area layer 4,VISpor4,312782628.0,8,/997/8/567/688/695/315/669/312782628/312782640/,Postrhinal area layer 4
312782644,Postrhinal area layer 5,VISpor5,312782628.0,8,/997/8/567/688/695/315/669/312782628/312782644/,Postrhinal area layer 5
312782648,Postrhinal area layer 6a,VISpor6a,312782628.0,8,/997/8/567/688/695/315/669/312782628/312782648/,Postrhinal area layer 6a
